Date,Country/Region,Cluster,Sum_Confirmed,Sum_Recovered,"Sum_Deaths"
2020-01-31,Angola,3,0,0,0
2020-02-01,Angola,3,0,0,0
2020-02-02,Angola,3,0,0,0
2020-02-03,Angola,3,0,0,0
2020-02-04,Angola,3,0,0,0
2020-02-05,Angola,3,0,0,0
2020-02-06,Angola,3,0,0,0
2020-02-07,Angola,3,0,0,0
2020-02-08,Angola,3,0,0,0
2020-02-09,Angola,3,0,0,0
2020-02-10,Angola,3,0,0,0
2020-02-11,Angola,3,0,0,0
2020-02-12,Angola,3,0,0,0
2020-02-13,Angola,3,0,0,0
2020-02-14,Angola,3,0,0,0
2020-02-15,Angola,3,0,0,0
2020-02-16,Angola,3,0,0,0
2020-02-17,Angola,3,0,0,0
2020-02-18,Angola,3,0,0,0
2020-02-19,Angola,3,0,0,0
2020-02-20,Angola,3,0,0,0
2020-02-21,Angola,3,0,0,0
2020-02-22,Angola,3,0,0,0
2020-02-23,Angola,3,0,0,0
2020-02-24,Angola,3,0,0,0
2020-02-25,Angola,3,0,0,0
2020-02-26,Angola,3,0,0,0
2020-02-27,Angola,3,0,0,0
2020-02-28,Angola,3,0,0,0
2020-02-29,Angola,3,0,0,0
2020-03-01,Angola,3,0,0,0
2020-03-02,Angola,3,0,0,0
2020-03-03,Angola,3,0,0,0
2020-03-04,Angola,3,0,0,0
2020-03-05,Angola,3,0,0,0
2020-03-06,Angola,3,0,0,0
2020-03-07,Angola,3,0,0,0
2020-03-08,Angola,3,0,0,0
2020-03-09,Angola,3,0,0,0
2020-03-10,Angola,3,0,0,0
2020-03-11,Angola,3,0,0,0
2020-03-12,Angola,3,0,0,0
2020-03-13,Angola,3,0,0,0
2020-03-14,Angola,3,0,0,0
2020-03-15,Angola,3,0,0,0
2020-03-16,Angola,3,0,0,0
2020-03-17,Angola,3,0,0,0
2020-03-18,Angola,3,0,0,0
2020-03-19,Angola,3,0,0,0
2020-03-20,Angola,3,1,0,0
2020-03-21,Angola,3,2,0,0
2020-03-22,Angola,3,2,0,0
2020-03-23,Angola,3,3,0,0
2020-03-24,Angola,3,3,0,0
2020-03-25,Angola,3,3,0,0
2020-03-26,Angola,3,4,0,0
2020-03-27,Angola,3,4,0,0
2020-03-28,Angola,3,5,0,0
2020-03-29,Angola,3,7,0,2
2020-03-30,Angola,3,7,0,2
2020-03-31,Angola,3,7,1,2
2020-04-01,Angola,3,8,1,2
2020-04-02,Angola,3,8,1,2
2020-04-03,Angola,3,8,1,2
2020-01-22,Antigua and Barbuda,4,0,0,0
2020-01-23,Antigua and Barbuda,4,0,0,0
2020-01-24,Antigua and Barbuda,4,0,0,0
2020-01-25,Antigua and Barbuda,4,0,0,0
2020-01-26,Antigua and Barbuda,4,0,0,0
2020-01-27,Antigua and Barbuda,4,0,0,0
2020-01-28,Antigua and Barbuda,4,0,0,0
2020-01-29,Antigua and Barbuda,4,0,0,0
2020-01-30,Antigua and Barbuda,4,0,0,0
2020-01-31,Antigua and Barbuda,4,0,0,0
2020-02-01,Antigua and Barbuda,4,0,0,0
2020-02-02,Antigua and Barbuda,4,0,0,0
2020-02-03,Antigua and Barbuda,4,0,0,0
2020-02-04,Antigua and Barbuda,4,0,0,0
2020-02-05,Antigua and Barbuda,4,0,0,0
2020-02-06,Antigua and Barbuda,4,0,0,0
2020-02-07,Antigua and Barbuda,4,0,0,0
2020-02-08,Antigua and Barbuda,4,0,0,0
2020-02-09,Antigua and Barbuda,4,0,0,0
2020-02-10,Antigua and Barbuda,4,0,0,0
2020-02-11,Antigua and Barbuda,4,0,0,0
2020-02-12,Antigua and Barbuda,4,0,0,0
2020-02-13,Antigua and Barbuda,4,0,0,0
2020-02-14,Antigua and Barbuda,4,0,0,0
2020-02-15,Antigua and Barbuda,4,0,0,0
2020-02-16,Antigua and Barbuda,4,0,0,0
2020-02-17,Antigua and Barbuda,4,0,0,0
2020-02-18,Antigua and Barbuda,4,0,0,0
2020-02-19,Antigua and Barbuda,4,0,0,0
2020-02-20,Antigua and Barbuda,4,0,0,0
2020-02-21,Antigua and Barbuda,4,0,0,0
2020-02-22,Antigua and Barbuda,4,0,0,0
2020-02-23,Antigua and Barbuda,4,0,0,0
2020-02-24,Antigua and Barbuda,4,0,0,0
2020-02-25,Antigua and Barbuda,4,0,0,0
2020-02-26,Antigua and Barbuda,4,0,0,0
2020-02-27,Antigua and Barbuda,4,0,0,0
2020-02-28,Antigua and Barbuda,4,0,0,0
2020-02-29,Antigua and Barbuda,4,0,0,0
2020-03-01,Antigua and Barbuda,4,0,0,0
2020-03-02,Antigua and Barbuda,4,0,0,0
2020-03-03,Antigua and Barbuda,4,0,0,0
2020-03-04,Antigua and Barbuda,4,0,0,0
2020-03-05,Antigua and Barbuda,4,0,0,0
2020-03-06,Antigua and Barbuda,4,0,0,0
2020-03-07,Antigua and Barbuda,4,0,0,0
2020-03-08,Antigua and Barbuda,4,0,0,0
2020-03-09,Antigua and Barbuda,4,0,0,0
2020-03-10,Antigua and Barbuda,4,0,0,0
2020-03-11,Antigua and Barbuda,4,0,0,0
2020-03-12,Antigua and Barbuda,4,0,0,0
2020-03-13,Antigua and Barbuda,4,1,0,0
2020-03-14,Antigua and Barbuda,4,1,0,0
2020-03-15,Antigua and Barbuda,4,1,0,0
2020-03-16,Antigua and Barbuda,4,1,0,0
2020-03-17,Antigua and Barbuda,4,1,0,0
2020-03-18,Antigua and Barbuda,4,1,0,0
2020-03-19,Antigua and Barbuda,4,1,0,0
2020-03-20,Antigua and Barbuda,4,1,0,0
2020-03-21,Antigua and Barbuda,4,1,0,0
2020-03-22,Antigua and Barbuda,4,1,0,0
2020-03-23,Antigua and Barbuda,4,3,0,0
2020-03-24,Antigua and Barbuda,4,3,0,0
2020-03-25,Antigua and Barbuda,4,3,0,0
2020-03-26,Antigua and Barbuda,4,7,0,0
2020-03-27,Antigua and Barbuda,4,7,0,0
2020-03-28,Antigua and Barbuda,4,7,0,0
2020-03-29,Antigua and Barbuda,4,7,0,0
2020-03-30,Antigua and Barbuda,4,7,0,0
2020-03-31,Antigua and Barbuda,4,7,0,0
2020-04-01,Antigua and Barbuda,4,7,0,0
2020-04-02,Antigua and Barbuda,4,9,0,0
2020-04-03,Antigua and Barbuda,4,15,0,0
2020-01-22,Argentina,4,0,0,0
2020-01-23,Argentina,4,0,0,0
2020-01-24,Argentina,4,0,0,0
2020-01-25,Argentina,4,0,0,0
2020-01-26,Argentina,4,0,0,0
2020-01-27,Argentina,4,0,0,0
2020-01-28,Argentina,4,0,0,0
2020-01-29,Argentina,4,0,0,0
2020-01-30,Argentina,4,0,0,0
2020-01-31,Argentina,4,0,0,0
2020-02-01,Argentina,4,0,0,0
2020-02-02,Argentina,4,0,0,0
2020-02-03,Argentina,4,0,0,0
2020-02-04,Argentina,4,0,0,0
2020-02-05,Argentina,4,0,0,0
2020-02-06,Argentina,4,0,0,0
2020-02-07,Argentina,4,0,0,0
2020-02-08,Argentina,4,0,0,0
2020-02-09,Argentina,4,0,0,0
2020-02-10,Argentina,4,0,0,0
2020-02-11,Argentina,4,0,0,0
2020-02-12,Argentina,4,0,0,0
2020-02-13,Argentina,4,0,0,0
2020-02-14,Argentina,4,0,0,0
2020-02-15,Argentina,4,0,0,0
2020-02-16,Argentina,4,0,0,0
2020-02-17,Argentina,4,0,0,0
2020-02-18,Argentina,4,0,0,0
2020-02-19,Argentina,4,0,0,0
2020-02-20,Argentina,4,0,0,0
2020-02-21,Argentina,4,0,0,0
2020-02-22,Argentina,4,0,0,0
2020-02-23,Argentina,4,0,0,0
2020-02-24,Argentina,4,0,0,0
2020-02-25,Argentina,4,0,0,0
2020-02-26,Argentina,4,0,0,0
2020-02-27,Argentina,4,0,0,0
2020-02-28,Argentina,4,0,0,0
2020-02-29,Argentina,4,0,0,0
2020-03-01,Argentina,4,0,0,0
2020-03-02,Argentina,4,0,0,0
2020-03-03,Argentina,4,1,0,0
2020-03-04,Argentina,4,1,0,0
2020-03-05,Argentina,4,1,0,0
2020-03-06,Argentina,4,2,0,0
2020-03-07,Argentina,4,8,0,0
2020-03-08,Argentina,4,12,0,1
2020-03-09,Argentina,4,12,0,1
2020-03-10,Argentina,4,17,0,1
2020-03-11,Argentina,4,19,0,1
2020-03-12,Argentina,4,19,0,1
2020-03-13,Argentina,4,31,0,2
2020-03-14,Argentina,4,34,1,2
2020-03-15,Argentina,4,45,1,2
2020-03-16,Argentina,4,56,1,2
2020-03-17,Argentina,4,68,3,2
2020-03-18,Argentina,4,79,3,2
2020-03-19,Argentina,4,97,3,3
2020-03-20,Argentina,4,128,3,3
2020-03-21,Argentina,4,158,3,4
2020-03-22,Argentina,4,266,3,4
2020-03-23,Argentina,4,301,3,4
2020-03-24,Argentina,4,387,52,6
2020-03-25,Argentina,4,387,52,8
2020-03-26,Argentina,4,502,63,9
2020-03-27,Argentina,4,589,72,13
2020-03-28,Argentina,4,690,72,18
2020-03-29,Argentina,4,745,72,19
2020-03-30,Argentina,4,820,228,23
2020-03-31,Argentina,4,1054,240,27
2020-04-01,Argentina,4,1054,248,28
2020-04-02,Argentina,4,1133,256,36
2020-04-03,Argentina,4,1265,266,39
2020-01-22,Armenia,4,0,0,0
2020-01-23,Armenia,4,0,0,0
2020-01-24,Armenia,4,0,0,0
2020-01-25,Armenia,4,0,0,0
2020-01-26,Armenia,4,0,0,0
2020-01-27,Armenia,4,0,0,0
2020-01-28,Armenia,4,0,0,0
2020-01-29,Armenia,4,0,0,0
2020-01-30,Armenia,4,0,0,0
2020-01-31,Armenia,4,0,0,0
2020-02-01,Armenia,4,0,0,0
2020-02-02,Armenia,4,0,0,0
2020-02-03,Armenia,4,0,0,0
2020-02-04,Armenia,4,0,0,0
2020-02-05,Armenia,4,0,0,0
2020-02-06,Armenia,4,0,0,0
2020-02-07,Armenia,4,0,0,0
2020-02-08,Armenia,4,0,0,0
2020-02-09,Armenia,4,0,0,0
2020-02-10,Armenia,4,0,0,0
2020-02-11,Armenia,4,0,0,0
2020-02-12,Armenia,4,0,0,0
2020-02-13,Armenia,4,0,0,0
2020-02-14,Armenia,4,0,0,0
2020-02-15,Armenia,4,0,0,0
2020-02-16,Armenia,4,0,0,0
2020-02-17,Armenia,4,0,0,0
2020-02-18,Armenia,4,0,0,0
2020-02-19,Armenia,4,0,0,0
2020-02-20,Armenia,4,0,0,0
2020-02-21,Armenia,4,0,0,0
2020-02-22,Armenia,4,0,0,0
2020-02-23,Armenia,4,0,0,0
2020-02-24,Armenia,4,0,0,0
2020-02-25,Armenia,4,0,0,0
2020-02-26,Armenia,4,0,0,0
2020-02-27,Armenia,4,0,0,0
2020-02-28,Armenia,4,0,0,0
2020-02-29,Armenia,4,0,0,0
2020-03-01,Armenia,4,1,0,0
2020-03-02,Armenia,4,1,0,0
2020-03-03,Armenia,4,1,0,0
2020-03-04,Armenia,4,1,0,0
2020-03-05,Armenia,4,1,0,0
2020-03-06,Armenia,4,1,0,0
2020-03-07,Armenia,4,1,0,0
2020-03-08,Armenia,4,1,0,0
2020-03-09,Armenia,4,1,0,0
2020-03-10,Armenia,4,1,0,0
2020-03-11,Armenia,4,1,0,0
2020-03-12,Armenia,4,4,0,0
2020-03-13,Armenia,4,8,0,0
2020-03-14,Armenia,4,18,0,0
2020-03-15,Armenia,4,26,0,0
2020-03-16,Armenia,4,52,0,0
2020-03-17,Armenia,4,78,1,0
2020-03-18,Armenia,4,84,1,0
